,loss_name,lower_quantile,upper_quantile,median_time,data_size
0,naive_square,0.0003794431686401367,0.00039130449295043945,0.0003826618194580078,10
0,naive_square,0.0034638047218322754,0.0035609006881713867,0.0034826993942260742,32
0,naive_square,0.031772494316101074,0.032480061054229736,0.03204500675201416,100
0,naive_square,0.3153507709503174,0.3194754719734192,0.31615984439849854,316
0,naive_square_hinge,0.0004614591598510742,0.0004704594612121582,0.00046253204345703125,10
0,naive_square_hinge,0.0043128132820129395,0.0043814778327941895,0.004326224327087402,32
0,naive_square_hinge,0.041746675968170166,0.04218202829360962,0.0419921875,100
0,naive_square_hinge,0.4108056426048279,0.412192702293396,0.4115262031555176,316
0,square_loss,0.0001004338264465332,0.00010383129119873047,0.00010097026824951172,10
0,square_loss,0.00010091066360473633,0.00010597705841064453,0.00010120868682861328,32
0,square_loss,0.00010281801223754883,0.00010728836059570312,0.00010395050048828125,100
0,square_loss,0.00010752677917480469,0.00011014938354492188,0.00010800361633300781,316
0,square_loss,0.00011837482452392578,0.00012195110321044922,0.0001195669174194336,1000
0,square_loss,0.00014859437942504883,0.0001519322395324707,0.0001494884490966797,3162
0,square_loss,0.00024086236953735352,0.00024700164794921875,0.00024116039276123047,10000
0,square_loss,0.0004398226737976074,0.00044655799865722656,0.00044143199920654297,31622
0,square_loss,0.0006110668182373047,0.0006269216537475586,0.0006136894226074219,100000
0,square_loss,0.0015837550163269043,0.0016121268272399902,0.0015974044799804688,316228
0,square_loss,0.00867772102355957,0.00899040699005127,0.008847236633300781,1000000
0,square_loss,0.03349494934082031,0.03397411108016968,0.03369152545928955,3162278
0,square_loss,0.1372157335281372,0.16190361976623535,0.13787341117858887,10000000
0,square_loss,0.39344632625579834,0.39462578296661377,0.3941972255706787,31622776
0,squared_hinge_loss,0.00022089481353759766,0.00023299455642700195,0.0002231597900390625,10
0,squared_hinge_loss,0.0004572272300720215,0.0004757046699523926,0.0004665851593017578,32
0,squared_hinge_loss,0.0011611580848693848,0.0011883378028869629,0.0011671781539916992,100
0,squared_hinge_loss,0.003504037857055664,0.003577113151550293,0.00352632999420166,316
0,squared_hinge_loss,0.010794758796691895,0.010848581790924072,0.0108184814453125,1000
0,squared_hinge_loss,0.03464841842651367,0.03503209352493286,0.03471529483795166,3162
0,squared_hinge_loss,0.10863107442855835,0.11413127183914185,0.11211502552032471,10000
0,squared_hinge_loss,0.3463350534439087,0.3510873317718506,0.34788239002227783,31622
0,logistic_loss,2.1457672119140625e-05,2.3663043975830078e-05,2.181529998779297e-05,10
0,logistic_loss,2.2232532501220703e-05,2.3186206817626953e-05,2.2530555725097656e-05,32
0,logistic_loss,2.3365020751953125e-05,2.491474151611328e-05,2.3603439331054688e-05,100
0,logistic_loss,2.4557113647460938e-05,2.6941299438476562e-05,2.491474151611328e-05,316
0,logistic_loss,2.9146671295166016e-05,3.0875205993652344e-05,2.956390380859375e-05,1000
0,logistic_loss,4.2438507080078125e-05,4.404783248901367e-05,4.279613494873047e-05,3162
0,logistic_loss,8.320808410644531e-05,9.09566879272461e-05,8.428096771240234e-05,10000
0,logistic_loss,0.00019627809524536133,0.00023221969604492188,0.00022673606872558594,31622
0,logistic_loss,0.0002181529998779297,0.00022619962692260742,0.00021910667419433594,100000
0,logistic_loss,0.0018673539161682129,0.0019440650939941406,0.001919865608215332,316228
0,logistic_loss,0.009719669818878174,0.009888172149658203,0.009739995002746582,1000000
0,logistic_loss,0.034512460231781006,0.03480172157287598,0.0346684455871582,3162278
0,logistic_loss,0.11891156435012817,0.14712345600128174,0.12022233009338379,10000000
0,logistic_loss,0.36020493507385254,0.3606657385826111,0.36024010181427,31622776
